support,itemsets
0.003395585738539898,"['Dune', ""Zack Snyder's Justice League"", 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Dune', 'The Batman', 'John Wick: Chapter 4']"
0.003395585738539898,"['Dune', 'John Wick: Chapter 4', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4']"
0.003395585738539898,"['Dune', 'The Suicide Squad', 'John Wick: Chapter 4']"
0.003395585738539898,"['Dune', 'John Wick: Chapter 4', 'The Batman', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Dune', 'The Batman', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4']"
0.003395585738539898,"['Dune', 'The Batman', 'The Suicide Squad', 'John Wick: Chapter 4']"
0.003395585738539898,"[""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'Dune', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Dune', 'John Wick: Chapter 4', 'The Suicide Squad', 'Spider-Man: No Way Home']"
0.003395585738539898,"['The Suicide Squad', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Batman']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Dune', 'John Wick: Chapter 4', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Suicide Squad']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'John Wick: Chapter 4']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'The Batman']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', ""Zack Snyder's Justice League""]"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'The Batman', 'John Wick: Chapter 4']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'John Wick: Chapter 4', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'The Suicide Squad', 'John Wick: Chapter 4']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'The Batman', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'The Batman', ""Zack Snyder's Justice League""]"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', ""Zack Snyder's Justice League"", 'Spider-Man: No Way Home']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'The Suicide Squad', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', ""Zack Snyder's Justice League"", 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', 'John Wick: Chapter 4', 'The Batman']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Batman']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', 'John Wick: Chapter 4', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', 'John Wick: Chapter 4', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Suicide Squad']"
