user_idx,avg_rating,num_ratings,rating_std,genre_count_scaled_pref,genre_action_pref,genre_adventure_pref,genre_animation_pref,genre_comedy_pref,genre_crime_pref,genre_documentary_pref,genre_drama_pref,genre_family_pref,genre_fantasy_pref,genre_game_show_pref,genre_history_pref,genre_holiday_pref,genre_horror_pref,genre_music_pref,genre_musical_pref,genre_mystery_pref,genre_romance_pref,genre_science_fiction_pref,genre_superhero_pref,genre_suspense_pref,genre_thriller_pref,genre_tv_movie_pref,genre_war_pref,genre_western_pref,user_cluster
2317,0.1111111111111111,1,,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
432,0.7777777777777777,1,,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1663,0.46360153256704983,58,0.20086226409593294,0.2557471264367816,0.3793103448275862,0.05172413793103448,0.017241379310344827,0.3103448275862069,0.20689655172413793,0.05172413793103448,0.3275862068965517,0.034482758620689655,0.10344827586206896,0.017241379310344827,0.10344827586206896,0.017241379310344827,0.1206896551724138,0.06896551724137931,0.05172413793103448,0.05172413793103448,0.10344827586206896,0.10344827586206896,0.017241379310344827,0.0,0.3448275862068966,0.0,0.0,0.05172413793103448,1
679,0.6184486373165617,106,0.21138599087183454,0.3317610062893082,0.7830188679245284,0.5471698113207547,0.018867924528301886,0.12264150943396226,0.1509433962264151,0.0,0.14150943396226415,0.04716981132075472,0.22641509433962265,0.0,0.009433962264150943,0.0,0.0660377358490566,0.0,0.0,0.07547169811320754,0.018867924528301886,0.4528301886792453,0.0,0.0,0.29245283018867924,0.0,0.02830188679245283,0.009433962264150943,0
971,0.494949494949495,11,0.18164975363768865,0.21212121212121204,0.0,0.0,0.0,0.36363636363636365,0.2727272727272727,0.0,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,1
323,0.6555555555555554,10,0.25899457388217906,0.26666666666666666,0.1,0.0,0.0,0.9,0.2,0.0,0.2,0.1,0.2,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.3,0.1,0.0,0.0,0.1,0.0,0.0,0.0,1
1853,1.0,1,,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
961,0.7037037037037036,3,0.3394500514782104,0.27777777777777773,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2619,0.1111111111111111,1,,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2750,0.5555555555555556,1,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
170,0.6217948717948718,52,0.17361634816971203,0.2916666666666667,0.5,0.1346153846153846,0.0,0.21153846153846154,0.21153846153846154,0.0,0.19230769230769232,0.038461538461538464,0.09615384615384616,0.0,0.038461538461538464,0.0,0.23076923076923078,0.0,0.0,0.11538461538461539,0.09615384615384616,0.34615384615384615,0.0,0.0,0.46153846153846156,0.0,0.07692307692307693,0.0,1
3079,0.7777777777777777,1,,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2803,0.5555555555555556,1,,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
873,0.7217217217217213,111,0.1975574041078107,0.3123123123123122,0.6126126126126126,0.43243243243243246,0.02702702702702703,0.21621621621621623,0.18018018018018017,0.0,0.1891891891891892,0.06306306306306306,0.17117117117117117,0.0,0.0,0.0,0.13513513513513514,0.009009009009009009,0.0,0.06306306306306306,0.07207207207207207,0.35135135135135137,0.0,0.0,0.34234234234234234,0.0,0.0,0.009009009009009009,0
350,0.9305555555555556,8,0.057505463278529546,0.31249999999999994,0.875,0.5,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.0,0.0,0
677,0.5555555555555556,1,,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1119,0.5925925925925926,3,0.06415002990995831,0.16666666666666663,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3451,0.6666666666666665,2,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1
1437,0.6592592592592591,15,0.17041637290134787,0.1888888888888888,0.06666666666666667,0.0,0.0,0.2,0.06666666666666667,0.0,0.4666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.0,0.0,0.06666666666666667,0.2,0.13333333333333333,0.0,0.0,0.6,0.0,0.0,0.06666666666666667,1
545,0.653907496012759,209,0.19630429504897365,0.3014354066985646,0.44976076555023925,0.37799043062200954,0.07177033492822966,0.21052631578947367,0.14832535885167464,0.0,0.22488038277511962,0.09569377990430622,0.13875598086124402,0.0,0.028708133971291867,0.0,0.1674641148325359,0.019138755980861243,0.0,0.11004784688995216,0.07177033492822966,0.33014354066985646,0.0,0.0,0.3349282296650718,0.0,0.019138755980861243,0.009569377990430622,0
901,0.4444444444444445,1,,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
203,0.5185185185185185,3,0.16972502573910514,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0
898,0.6790123456790123,18,0.07515550462161366,0.23148148148148145,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.3888888888888889,0.05555555555555555,0.2222222222222222,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.0,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,1
491,0.44444444444444436,26,0.2108185106778919,0.2179487179487179,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.19230769230769232,0.0,0.5769230769230769,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.0,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.0,0.0,0.3076923076923077,0.0,0.0,0.11538461538461539,1
61,0.6906130268199233,116,0.16304011570992277,0.3362068965517242,0.4396551724137931,0.39655172413793105,0.16379310344827586,0.39655172413793105,0.13793103448275862,0.0,0.20689655172413793,0.25,0.2672413793103448,0.0,0.0,0.0,0.09482758620689655,0.008620689655172414,0.0,0.017241379310344827,0.15517241379310345,0.21551724137931033,0.0,0.0,0.25,0.0,0.017241379310344827,0.0,0
680,0.7777777777777777,1,,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2975,0.5555555555555556,1,,0.1666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
472,0.6517094017094015,52,0.14764978183176525,0.30769230769230765,0.3269230769230769,0.34615384615384615,0.1346153846153846,0.5,0.057692307692307696,0.0,0.19230769230769232,0.28846153846153844,0.23076923076923078,0.0,0.0,0.0,0.09615384615384616,0.019230769230769232,0.0,0.038461538461538464,0.15384615384615385,0.23076923076923078,0.0,0.0,0.19230769230769232,0.038461538461538464,0.0,0.0,0
