user_idx,movie_idx,rating_scaled
1663,2263,0.2222222222222222
3346,2031,0.7777777777777777
872,1725,0.6666666666666665
1238,2370,0.6666666666666665
741,760,0.6666666666666665
862,1906,0.2222222222222222
898,101,0.6666666666666665
188,171,0.2222222222222222
2437,1080,0.3333333333333333
3059,1283,0.4444444444444445
753,2464,1.0
559,1417,0.8888888888888888
2203,723,0.2222222222222222
165,2571,0.7777777777777777
61,1695,1.0
2277,858,0.7777777777777777
1467,2546,0.5555555555555556
170,1388,0.5555555555555556
3375,1631,0.3333333333333333
764,1697,0.3333333333333333
741,2187,0.7777777777777777
3337,1494,0.8888888888888888
1330,329,0.8888888888888888
2176,199,0.4444444444444445
394,2528,0.2222222222222222
545,2351,0.4444444444444445
1399,669,0.7777777777777777
3346,1736,0.7777777777777777
1598,2088,0.2222222222222222
151,69,0.6666666666666665
516,810,0.1111111111111111
1594,588,0.2222222222222222
1715,2489,0.5555555555555556
3208,414,0.2222222222222222
3009,2301,0.3333333333333333
1151,2677,0.0
1711,1699,0.7777777777777777
1711,192,0.7777777777777777
354,1766,0.6666666666666665
183,832,0.6666666666666665
595,2174,0.4444444444444445
646,2026,0.8888888888888888
183,2595,0.5555555555555556
61,1906,0.5555555555555556
3385,2175,0.3333333333333333
191,2325,0.6666666666666665
1433,2402,0.8888888888888888
33,2039,0.3333333333333333
444,835,0.6666666666666665
2632,328,1.0
1740,2088,0.6666666666666665
190,2146,0.6666666666666665
3412,2578,0.8888888888888888
1744,468,0.6666666666666665
1707,2512,0.6666666666666665
2033,960,0.1111111111111111
183,1780,0.6666666666666665
787,1953,0.7777777777777777
545,107,0.7777777777777777
2961,1254,0.5555555555555556
112,2494,0.5555555555555556
2971,889,0.2222222222222222
3498,135,0.1111111111111111
2835,786,0.6666666666666665
419,52,0.5555555555555556
404,69,0.6666666666666665
1711,1482,0.7777777777777777
352,1828,1.0
2297,1044,0.7777777777777777
61,1706,0.7777777777777777
741,1994,0.7777777777777777
583,2124,0.0
1565,2135,0.6666666666666665
183,2079,0.5555555555555556
183,1931,0.6666666666666665
243,2596,0.4444444444444445
183,2561,0.5555555555555556
1399,1879,0.0
2213,631,0.4444444444444445
61,1783,0.5555555555555556
1467,1552,0.6666666666666665
1669,644,0.6666666666666665
566,2100,0.7777777777777777
193,713,0.8888888888888888
